Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,73.9925,-57.0,180.0,bottom
C1,55.3925,-62.6,0.0,bottom
C10,57.1925,-41.1,180.0,bottom
C2,57.5925,-49.0,90.0,bottom
C3,59.18,-51.68125,180.0,bottom
C4,50.43,-51.93125,90.0,bottom
C5,59.43,-60.43125,270.0,bottom
C6,58.93,-61.93125,180.0,bottom
C7,51.1925,-60.9,270.0,bottom
C8,60.6925,-32.1,90.0,bottom
C9,58.1925,-36.1,180.0,bottom
D1,31.1175,-34.795,270.0,bottom
D10,202.5675,-34.75,270.0,bottom
D11,221.6175,-34.75,270.0,bottom
D12,240.6675,-34.75,270.0,bottom
D13,259.7175,-34.75,270.0,bottom
D14,28.73625,-39.5125,90.0,bottom
D15,39.451875,-39.5125,90.0,bottom
D16,69.2175,-39.5125,90.0,bottom
D17,85.88625,-39.4675,90.0,bottom
D18,104.93625,-39.5125,90.0,bottom
D19,128.74875,-39.5125,90.0,bottom
D2,37.070625,-34.75,270.0,bottom
D20,143.03625,-39.4675,90.0,bottom
D21,166.84875,-39.4675,90.0,bottom
D22,181.13625,-39.4675,90.0,bottom
D23,200.18625,-39.4675,90.0,bottom
D24,219.23625,-39.4675,90.0,bottom
D25,238.28625,-39.4675,90.0,bottom
D26,257.33625,-39.5125,90.0,bottom
D27,31.1175,-72.85,270.0,bottom
D28,50.1675,-72.85,270.0,bottom
D29,69.2175,-72.85,270.0,bottom
D3,71.59875,-34.75,270.0,bottom
D30,93.03,-72.85,270.0,bottom
D31,103.745625,-72.85,270.0,bottom
D32,128.74875,-72.85,270.0,bottom
D33,145.4175,-72.85,270.0,bottom
D34,164.4675,-72.85,270.0,bottom
D35,183.5175,-72.85,270.0,bottom
D36,202.5675,-72.85,270.0,bottom
D37,221.6175,-72.85,270.0,bottom
D38,240.6675,-72.85,270.0,bottom
D39,259.7175,-72.85,270.0,bottom
D4,88.2675,-34.75,270.0,bottom
D40,33.49875,-77.5675,90.0,bottom
D41,47.78625,-77.5675,90.0,bottom
D42,66.995,-77.5675,90.0,bottom
D43,101.364375,-77.6125,90.0,bottom
D44,131.13,-77.5675,90.0,bottom
D45,162.08625,-77.5675,90.0,bottom
D46,185.89875,-77.5675,90.0,bottom
D47,223.99875,-77.5675,90.0,bottom
D48,238.28625,-77.5675,90.0,bottom
D49,257.33625,-77.6125,90.0,bottom
D5,107.3175,-34.75,270.0,bottom
D6,131.13,-34.75,270.0,bottom
D7,145.4175,-34.75,270.0,bottom
D8,164.4675,-34.75,270.0,bottom
D9,183.5175,-34.75,270.0,bottom
F1,57.9925,-33.2,270.0,bottom
J1,54.93,-24.34375,180.0,bottom
R1,63.3925,-25.5,270.0,bottom
R2,62.1925,-25.5,90.0,bottom
R3,68.4425,-55.95,0.0,bottom
R4,68.4175,-54.775,180.0,bottom
RST1,73.1925,-63.375,0.0,bottom
U1,54.93,-56.18125,90.0,bottom
U2,55.1925,-31.0,90.0,bottom
U3,57.6925,-38.6,270.0,bottom
