Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_SPST,
"C1, C3, C4, C5, C6, C7, C8",0402,7,100nF,C307331
"C10, C9",0402,2,1uF,C307331
C2,0603,1,10uF,C307331
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D6, D7, D8, D9",D_SOD-123,49,D_Small,
F1,1206,1,500mA,C135341
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX61, MX62, MX63, MX7, MX8, MX9",SW_MX_1u,63,MX_SW_solder,
"R1, R2, R3, R4",0402,4,5.1k,
"S1, S4",STAB_MX_2.25u,2,MX_stab,
"S2, S5",STAB_MX_2.75u,2,MX_stab,
S3,STAB_MX_7u,1,MX_stab,
S6,STAB_MX_ISO,1,MX_stab,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
U2,SOT-143,1,PRTR5V0U2X,C2827688
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
